number,name,type,shape,direction
49,TDO,output,line,left
50,PC2,bidirectional,line,left
50,T5CCP0,bidirectional,line,left
50,TDI,input,line,left
51,PC1,bidirectional,line,left
51,SWDIO,bidirectional,line,left
51,T4CCP1,bidirectional,line,left
51,TMS,input,line,left
52,PC0,bidirectional,line,left
52,SWCLK,input,line,left
52,T4CCP0,bidirectional,line,left
52,TCK,input,line,left
53,M0FAULT0,input,line,left
53,PD6,bidirectional,line,left
53,PhA0,input,line,left
53,U2Rx,input,line,left
53,WT5CCP0,bidirectional,line,left
54,VDD,powerInput,line,left
55,GND,powerInput,line,left
56,VDDC,powerInput,line,left
57,AIN11,input,line,left
57,CAN0Tx,output,line,left
57,M0PWM3,output,line,left
57,PB5,bidirectional,line,left
57,SSI2Fss,bidirectional,line,left
57,T1CCP1,bidirectional,line,left
58,AIN10,input,line,left
58,CAN0Rx,input,line,left
58,M0PWM2,output,line,left
58,PB4,bidirectional,line,left
58,SSI2Clk,bidirectional,line,left
58,T1CCP0,bidirectional,line,left
59,AIN9,input,line,left
59,CAN0Rx,input,line,left
59,I2C2SCL,openCollector,line,left
59,M0PWM4,output,line,left
59,M1PWM2,output,line,left
59,PE4,bidirectional,line,left
59,U5Rx,input,line,left
60,AIN8,input,line,left
60,CAN0Tx,output,line,left
60,I2C2SDA,openCollector,line,left
60,M0PWM5,output,line,left
60,M1PWM3,output,line,left
60,PE5,bidirectional,line,left
60,U5Tx,output,line,left
61,AIN7,input,line,left
61,I2C3SCL,openCollector,line,left
61,M0PWM6,output,line,left
61,M1PWM0,output,line,left
61,PD0,bidirectional,line,left
61,SSI1Clk,bidirectional,line,left
61,SSI3Clk,bidirectional,line,left
61,WT2CCP0,bidirectional,line,left
62,AIN6,input,line,left
62,I2C3SDA,openCollector,line,left
62,M0PWM7,output,line,left
62,M1PWM1,output,line,left
62,PD1,bidirectional,line,left
62,SSI1Fss,bidirectional,line,left
62,SSI3Fss,bidirectional,line,left
62,WT2CCP1,bidirectional,line,left
63,AIN5,input,line,left
63,M0FAULT0,input,line,left
63,PD2,bidirectional,line,left
63,SSI1Rx,input,line,left
63,SSI3Rx,input,line,left
63,USB0EPEN,output,line,left
63,WT3CCP0,bidirectional,line,left
64,AIN4,input,line,left
64,IDX0,input,line,left
64,PD3,bidirectional,line,left
64,SSI1Tx,output,line,left
64,SSI3Tx,output,line,left
64,USB0PFLT,input,line,left
64,WT3CCP1,bidirectional,line,left
